HSC J022013-050729 02 20 13.03 -05 07 29.7 2.169 22.7 22.7 22.6 22.3 22.4 21.7 NB387 AGN          Co11
HSC J100041+022637 10 00 41.08 +02 26 37.4 4.869 99.0 27.5 25.6 25.8 25.9 24.5 NB718              Ma12, Has18
HSC J100055+021309 10 00 55.43 +02 13 09.1 4.873 99.0 28.6 26.1 26.3 27.3 24.1 NB718              Ma12, Has18
HSC J100122+022249 10 01 22.45 +02 22 49.8 4.865 29.4 28.5 26.4 26.5 26.3 24.9 NB718              Ma12, Has18
HSC J100145+015712 10 01 45.12 +01 57 12.2 4.910 99.0 26.6 25.1 25.0 24.9 24.4 NB718              Ma12, Has18
HSC J100145+020244 10 01 45.96 +02 02 44.3 4.888 30.0 25.8 24.1 24.1 24.1 23.0 NB718 LAB          Zh20
HSC J021524-050250 02 15 24.81 -05 02 50.9 5.702 99.0 28.7 27.1 27.7 28.3 25.4 NB816              Ni20
HSC J021525-045918 02 15 25.25 -04 59 18.2 5.674 99.0 99.0 26.6 25.8 25.7 24.8 NB816              Ji17, Ni20
HSC J021526-045229 02 15 26.23 -04 52 29.9 5.655 99.0 99.0 26.1 25.2 25.0 24.7 NB816              On21
HSC J021533-050137 02 15 33.25 -05 01 37.3 5.671 29.5 28.2 26.4 25.4 25.3 24.7 NB816              On21
HSC J021551-045325 02 15 51.35 -04 53 25.5 5.712 99.0 99.0 27.8 26.9 27.2 25.3 NB816              Ni20, On21
HSC J021553-051000 02 15 53.98 -05 10 00.4 5.732 99.0 29.0 99.0 28.7 29.0 25.7 NB816              This Study
HSC J021555-045318 02 15 55.66 -04 53 18.9 5.740 99.0 28.8 27.2 27.6 27.3 25.3 NB816              Ni20, On21
HSC J021558-045301 02 15 58.50 -04 53 01.9 5.718 99.0 99.0 27.2 27.6 27.8 25.0 NB816              On21
HSC J021601-045404 02 16 01.36 -04 54 04.2 5.722 99.0 99.0 99.0 29.4 99.0 25.9 NB816              Ni20
HSC J021609-045651 02 16 09.47 -04 56 51.3 5.691 99.0 99.0 28.4 99.0 99.0 25.8 NB816              Ni20, This Study
HSC J021612-051308 02 16 12.32 -05 13 08.5 5.724 99.0 99.0 28.1 99.0 99.0 25.4 NB816              Ni20
HSC J021617-045419 02 16 17.16 -04 54 19.4 5.710 99.0 99.0 28.5 29.1 27.6 25.6 NB816              Ni20, On21
HSC J021624-045516 02 16 24.71 -04 55 16.7 5.707 99.0 99.0 26.4 25.9 25.8 23.9 NB816              Ji17, Ni20
HSC J021625-045237 02 16 25.65 -04 52 37.3 5.730 99.0 99.0 28.2 28.9 27.1 25.1 NB816              On21
HSC J021628-050103 02 16 28.06 -05 01 03.8 5.695 99.0 29.2 27.5 28.2 99.0 25.1 NB816              Ni20, On21
HSC J021629-050259 02 16 29.60 -05 02 59.2 5.678 29.1 99.0 27.9 27.9 28.5 25.9 NB816              Ni20
HSC J021630-045734 02 16 30.40 -04 57 34.4 5.700 29.8 29.0 28.0 99.0 28.3 25.9 NB816              This Study
HSC J021636-044723 02 16 36.45 -04 47 23.7 5.721 99.0 29.9 27.2 26.5 26.7 25.2 NB816              Ni20, On21
HSC J021639-051346 02 16 39.90 -05 13 46.9 5.705 99.0 99.0 27.6 27.4 27.7 25.3 NB816              Ni20
HSC J021654-052155 02 16 54.61 -05 21 55.7 5.715 29.0 28.7 26.8 26.9 26.7 24.7 NB816              Ji18, Ha19, Ni20
HSC J021657-052117 02 16 57.89 -05 21 17.3 5.669 99.0 99.0 26.7 26.4 27.2 25.3 NB816              Ji17, Ji18, Ha19, Ni20
HSC J021659-052305 02 16 59.95 -05 23 05.4 5.700 29.0 99.0 28.1 27.9 27.1 25.7 NB816              Ha19
HSC J021700-051810 02 17 00.80 -05 18 10.5 5.713 99.0 99.0 28.0 27.9 99.0 25.6 NB816              Ji18, Ni20
HSC J021700-053130 02 17 00.62 -05 31 30.5 5.754 99.0 29.6 27.0 26.9 26.5 25.2 NB816              Ji18, Ni20
HSC J021701-051841 02 17 01.44 -05 18 41.6 5.679 99.0 99.0 28.0 27.1 27.6 25.7 NB816              Ha19
HSC J021704-052714 02 17 04.30 -05 27 14.4 5.687 99.0 28.4 26.5 26.6 26.1 24.4 NB816              Ji17, Ji18, Ha19, Ni20
HSC J021705-052427 02 17 05.19 -05 24 27.6 5.705 99.0 29.7 27.9 99.0 99.0 26.0 NB816              Ni20
HSC J021707-052723 02 17 07.98 -05 27 23.4 5.720 99.0 99.0 27.4 28.7 99.0 26.1 NB816              Ha19
HSC J021707-053426 02 17 07.86 -05 34 26.7 5.680 99.0 99.0 26.5 26.3 26.4 24.4 NB816              Ji17, Ji18, Ha19, Ni20
HSC J021708-052421 02 17 08.87 -05 24 21.7 5.675 29.3 28.5 27.2 26.9 27.4 25.7 NB816              Ji18, Ni20
HSC J021709-050329 02 17 09.78 -05 03 29.3 5.709 99.0 29.3 27.1 26.7 28.9 25.0 NB816              On21
HSC J021709-052646 02 17 09.96 -05 26 46.7 5.689 99.0 99.0 27.8 27.0 27.5 25.4 NB816              Ha19, Ni20
HSC J021709-052731 02 17 09.52 -05 27 31.5 5.676 99.0 29.6 27.8 99.0 28.3 25.7 NB816              Ji18, Ha19, Ni20
HSC J021710-044351 02 17 10.47 -04 43 51.6 5.691 99.0 28.0 27.4 28.6 27.4 25.9 NB816              Ni20, This Study
HSC J021713-053558 02 17 13.80 -05 35 58.0 5.686 28.7 99.0 27.4 26.0 26.0 25.2 NB816              Ha19
HSC J021714-053502 02 17 14.93 -05 35 02.9 5.685 99.0 29.9 27.7 26.3 29.7 25.5 NB816              Ha19
HSC J021719-043150 02 17 19.14 -04 31 50.7 5.735 99.0 99.0 27.5 26.8 27.2 25.0 NB816              Ni20, On21
HSC J021722-052805 02 17 22.28 -05 28 05.4 5.682 99.0 99.0 27.6 27.6 27.0 25.7 NB816              Ji18, Ha19, Ni20
HSC J021723-052559 02 17 23.53 -05 25 59.9 5.707 99.0 99.0 28.9 29.1 27.6 25.8 NB816              This Study
HSC J021724-053309 02 17 24.04 -05 33 09.8 5.708 29.0 28.2 25.8 25.5 25.8 23.6 NB816              Ji17, Ji18, Sh18, Ha19, Ni20
HSC J021725-050737 02 17 25.90 -05 07 37.7 5.701 99.0 99.0 27.7 27.0 26.7 24.8 NB816              On21
HSC J021726-045126 02 17 26.74 -04 51 26.8 5.709 99.0 99.0 27.6 99.0 28.3 25.0 NB816              On21
HSC J021729-053028 02 17 29.19 -05 30 28.6 5.746 99.0 99.0 27.8 28.8 99.0 25.1 NB816              Ha19
HSC J021733-050901 02 17 33.18 -05 09 01.3 5.679 99.0 99.0 27.7 29.7 28.6 25.7 NB816              Ni20
HSC J021734-053452 02 17 34.16 -05 34 52.8 5.710 99.0 99.0 29.8 99.0 27.9 25.3 NB816              Ji18, Ha19, Ni20
HSC J021736-052701 02 17 36.38 -05 27 01.7 5.674 99.0 29.4 26.8 26.4 26.5 25.3 NB816              Ji17, Ji18, Ha19, Ni20
HSC J021736-053027 02 17 36.68 -05 30 27.6 5.686 99.0 99.0 27.9 27.2 99.0 25.7 NB816              Ha19
HSC J021737-043943 02 17 37.97 -04 39 43.1 5.755 29.2 99.0 27.0 26.5 26.1 24.7 NB816              On21
HSC J021738-053048 02 17 38.29 -05 30 48.8 5.687 99.0 29.0 28.8 27.9 27.8 25.9 NB816              Ha19
HSC J021739-043837 02 17 39.26 -04 38 37.4 5.722 99.0 99.0 27.9 27.6 99.0 24.8 NB816              Ni20, On21
HSC J021740-044544 02 17 40.60 -04 45 44.2 5.704 99.0 99.0 99.0 99.0 99.0 26.0 NB816              This Study
HSC J021741-044426 02 17 41.29 -04 44 26.7 5.704 99.0 99.0 27.9 27.5 28.2 25.8 NB816              Ni20, This Study
HSC J021742-052810 02 17 42.18 -05 28 10.6 5.679 28.8 28.5 27.0 26.3 26.0 25.5 NB816              Ha19, Ni20
HSC J021745-044129 02 17 45.74 -04 41 29.3 5.676 29.3 99.0 26.8 27.5 26.6 25.1 NB816              Ni20, On21
HSC J021745-052936 02 17 45.26 -05 29 36.2 5.688 29.4 99.0 26.7 26.2 26.6 24.6 NB816              Ou08, Ji17, Ji18, Ni20
HSC J021747-052252 02 17 47.42 -05 22 52.0 5.722 99.0 99.0 28.8 28.1 99.0 25.7 NB816              This Study
HSC J021748-043948 02 17 48.67 -04 39 48.9 5.668 99.0 99.0 27.8 27.6 27.5 26.0 NB816              Ni20, This Study
HSC J021748-051550 02 17 48.77 -05 15 50.0 5.681 99.0 99.0 27.2 26.8 99.0 25.9 NB816              Ji18, Ni20
HSC J021748-053127 02 17 48.47 -05 31 27.1 5.690 99.0 29.9 26.9 26.3 26.7 24.6 NB816              Ou08, Ji17, Ji18, Ni20
HSC J021750-052708 02 17 50.00 -05 27 08.2 5.693 99.0 99.0 27.3 26.8 26.2 25.0 NB816              Ou08, Ji18, Ni20
HSC J021751-053003 02 17 51.15 -05 30 03.8 5.712 99.0 28.6 27.2 26.3 26.2 25.3 NB816              Ou08, Ji18, Ni20
HSC J021755-043251 02 17 55.40 -04 32 51.6 5.692 28.9 28.6 27.3 26.7 27.1 24.9 NB816              Ni20, On21
HSC J021755-053027 02 17 55.84 -05 30 27.1 5.694 99.0 99.0 27.9 27.1 99.0 25.7 NB816              Ha19
HSC J021757-053309 02 17 57.67 -05 33 09.5 5.749 29.8 99.0 27.0 26.5 26.9 24.9 NB816              Ji18, Ha19, Ni20
HSC J021758-043030 02 17 58.92 -04 30 30.5 5.690 29.7 99.0 26.6 25.9 26.0 24.5 NB816              Ji17, Ni20
HSC J021759-042758 02 17 59.91 -04 27 58.0 5.661 99.0 99.0 27.4 26.9 27.1 26.1 NB816              Ni20, This Study
HSC J021759-045346 02 17 59.00 -04 53 46.0 5.682 28.9 28.1 27.3 27.5 26.7 25.6 NB816              Ni20
HSC J021759-052015 02 17 59.76 -05 20 15.1 5.700 99.0 99.0 28.0 27.9 28.9 25.4 NB816              Ni20
HSC J021800-053519 02 18 00.73 -05 35 19.2 5.673 99.0 99.0 26.6 25.3 25.3 25.0 NB816              Ha19, Ni20
HSC J021802-050038 02 18 02.30 -05 00 38.8 5.733 99.0 99.0 28.3 29.4 99.0 25.4 NB816              Ni20
HSC J021802-052011 02 18 02.19 -05 20 11.6 5.715 99.0 99.0 28.1 27.6 28.2 25.4 NB816              Ji18, Ha19, Ni20
HSC J021803-044653 02 18 03.59 -04 46 53.2 5.670 99.0 28.4 27.8 27.3 27.7 25.7 NB816              Ni20, This Study
HSC J021803-051356 02 18 03.81 -05 13 56.6 5.697 99.0 99.0 27.8 27.5 27.3 25.2 NB816              Ni20
HSC J021803-052643 02 18 03.89 -05 26 43.5 5.747 99.0 29.2 27.2 26.9 27.0 24.8 NB816              Ji18, Ha19, Ni20
HSC J021804-052147 02 18 04.18 -05 21 47.3 5.734 99.0 29.1 26.7 25.8 25.8 24.7 NB816              Ji18, Ha19, Ni20
HSC J021805-052027 02 18 05.29 -05 20 27.1 5.742 99.0 99.0 27.9 27.0 27.4 25.0 NB816              Ji18, Ha19, Ni20
HSC J021805-052704 02 18 05.19 -05 27 04.2 5.748 99.0 99.0 27.4 27.4 26.6 24.9 NB816              Ji18, Ha19, Ni20
HSC J021806-042847 02 18 06.16 -04 28 47.7 5.727 28.9 29.4 27.3 27.0 27.0 25.4 NB816              Ni20, On21
HSC J021807-043058 02 18 07.06 -04 30 58.4 5.725 28.9 28.3 27.1 27.1 28.0 25.5 NB816              Ni20
HSC J021807-051526 02 18 07.70 -05 15 26.8 5.750 99.0 99.0 26.8 26.5 26.8 25.0 NB816              Ji18, Ni20
HSC J021810-053708 02 18 10.68 -05 37 08.0 5.749 99.0 28.9 26.9 26.5 26.2 24.4 NB816              Ji18, Ni20
HSC J021814-053249 02 18 14.40 -05 32 49.2 5.673 99.0 29.1 26.6 26.0 25.5 25.2 NB816              Ou08, Ji18, Ni20
HSC J021819-050355 02 18 19.58 -05 03 55.5 5.743 99.0 29.8 26.9 26.2 26.1 25.0 NB816              Ni20, On21
HSC J021821-044900 02 18 21.28 -04 49 00.3 5.705 29.0 29.4 27.5 26.9 26.6 25.3 NB816              Ni20
HSC J021822-042926 02 18 22.92 -04 29 26.0 5.697 99.0 99.0 28.6 99.0 99.0 25.3 NB816              On21
HSC J021823-044335 02 18 23.29 -04 43 35.1 5.670 99.0 29.4 26.1 25.0 25.1 24.8 NB816              Ji17, Ni20
HSC J021823-053205 02 18 23.82 -05 32 05.4 5.679 29.2 29.8 27.4 27.5 27.6 25.8 NB816              Ou08, Ji18, Ni20
HSC J021825-050700 02 18 25.43 -05 07 00.6 5.683 29.3 99.0 29.3 27.5 99.0 25.6 NB816              On21
HSC J021827-044737 02 18 27.45 -04 47 37.1 5.703 99.0 99.0 26.4 26.4 26.5 23.9 NB816              Ji17, Ni20
HSC J021828-051423 02 18 28.89 -05 14 23.1 5.737 99.0 99.0 26.7 26.6 26.2 24.2 NB816              Ha19
HSC J021830-051457 02 18 30.54 -05 14 57.8 5.688 99.0 29.7 26.3 26.6 26.8 23.9 NB816              Ha19
HSC J021835-042321 02 18 35.95 -04 23 21.7 5.755 99.0 99.0 25.6 25.3 25.6 23.4 NB816              Sh18
HSC J021836-053208 02 18 36.15 -05 32 08.8 5.726 99.0 29.9 28.4 99.0 27.3 25.1 NB816              Ni20
HSC J021836-053528 02 18 36.38 -05 35 28.1 5.698 29.1 29.2 26.3 25.7 25.3 23.9 NB816              On21
HSC J021845-052915 02 18 45.03 -05 29 15.9 5.660 99.0 29.6 26.5 26.0 25.8 25.2 NB816              On21
HSC J021846-043722 02 18 46.66 -04 37 22.4 5.735 99.0 29.5 27.6 27.3 26.8 25.0 NB816              On21
HSC J021847-052725 02 18 47.77 -05 27 25.0 5.662 99.0 99.0 27.7 27.0 26.8 25.8 NB816              This Study
HSC J021848-051715 02 18 48.23 -05 17 15.6 5.741 29.3 99.0 26.9 25.9 25.7 24.7 NB816              On21
HSC J021848-052235 02 18 48.99 -05 22 35.4 5.718 29.7 28.6 26.6 26.2 26.4 24.8 NB816              On21
HSC J021850-053007 02 18 50.99 -05 30 07.6 5.705 99.0 28.3 27.2 25.9 25.6 25.0 NB816              On21
HSC J021855-044022 02 18 55.47 -04 40 22.8 5.659 29.0 29.4 27.4 27.2 29.1 26.1 NB816              This Study
HSC J021857-045648 02 18 57.33 -04 56 48.9 5.681 29.7 99.0 28.2 27.1 99.0 25.4 NB816              Ni20, On21
HSC J021859-052916 02 18 59.93 -05 29 16.8 5.674 29.1 27.8 25.6 24.8 24.7 24.3 NB816              On21
HSC J021911-045707 02 19 11.04 -04 57 07.6 5.704 99.0 99.0 27.7 28.7 28.6 25.2 NB816              Ni20, On21
HSC J021916-051402 02 19 16.44 -05 14 02.9 5.710 99.0 29.2 26.7 26.3 26.2 24.8 NB816              Ni20
HSC J021943-044914 02 19 43.91 -04 49 14.4 5.684 99.0 99.0 27.9 27.2 26.8 25.4 NB816              Ni20, On21
HSC J021945-044659 02 19 45.86 -04 46 59.5 5.691 29.6 99.0 27.7 26.9 26.8 25.6 NB816              Ni20
HSC J021951-051038 02 19 51.16 -05 10 38.4 5.667 99.0 29.2 26.9 27.1 26.5 25.6 NB816              Ni20
HSC J022001-045839 02 20 01.06 -04 58 39.7 5.682 99.0 99.0 27.1 27.2 27.1 25.5 NB816              Ni20
HSC J022001-045839 02 20 01.06 -04 58 39.7 5.682 99.0 99.0 27.1 27.2 27.1 25.5 NB816              On21
HSC J022001-051637 02 20 01.11 -05 16 37.4 5.711 29.7 29.2 26.1 25.7 25.8 23.6 NB816              Sh18
HSC J022003-045416 02 20 03.20 -04 54 16.6 5.697 99.0 29.5 26.3 25.3 25.2 24.6 NB816              On21
HSC J022012-044950 02 20 12.14 -04 49 50.9 5.681 99.0 99.0 27.0 26.7 28.6 25.3 NB816              Ou08, Ni20
HSC J022017-045046 02 20 17.68 -04 50 46.7 5.675 99.0 99.0 27.9 27.6 99.0 26.1 NB816              This Study
HSC J022021-045315 02 20 21.50 -04 53 15.2 5.671 99.0 28.4 27.2 27.1 28.3 25.9 NB816              Ou08, Ni20
HSC J022026-045217 02 20 26.89 -04 52 17.8 5.720 28.9 27.7 26.3 25.8 25.6 25.1 NB816              Ni20, On21
HSC J022036-045819 02 20 36.28 -04 58 19.5 5.699 99.0 99.0 27.7 27.6 99.0 25.4 NB816              Ni20
HSC J095835+014212 09 58 35.63 +01 42 12.8 5.755 99.0 99.0 26.8 26.6 26.5 24.6 NB816              Ni20
HSC J095841+015027 09 58 41.83 +01 50 27.7 5.705 99.0 99.0 27.6 27.4 28.4 25.6 NB816              Ni20
HSC J095850+014148 09 58 50.72 +01 41 48.9 5.700 99.0 99.0 27.4 26.5 27.4 24.9 NB816              Ni20
HSC J095905+014747 09 59 05.40 +01 47 47.8 5.685 99.0 99.0 27.5 27.2 27.7 25.1 NB816              Ni20
HSC J095908+020847 09 59 08.42 +02 08 47.1 5.689 99.0 29.9 27.9 26.9 26.9 25.9 NB816              Ni20
HSC J095911+015237 09 59 11.28 +01 52 37.4 5.678 99.0 99.0 27.2 26.3 26.2 25.7 NB816              Ni20
HSC J095912+014436 09 59 12.14 +01 44 36.1 5.686 99.0 99.0 28.3 28.0 99.0 26.1 NB816              Ni20
HSC J095918+020912 09 59 18.94 +02 09 12.1 5.729 99.0 99.0 27.9 27.8 27.4 25.3 NB816              Ni20
HSC J095919+020321 09 59 19.74 +02 03 21.9 5.704 99.0 99.0 28.4 28.7 28.0 24.9 NB816              Ma12, Has18
HSC J095919+020321 09 59 19.74 +02 03 21.9 5.710 99.0 99.0 28.4 28.7 28.0 24.9 NB816              Ni20
HSC J095921+014141 09 59 21.11 +01 41 41.0 5.716 99.0 99.0 27.5 28.0 28.1 24.8 NB816              Ni20
HSC J095922+021029 09 59 22.27 +02 10 29.2 5.716 28.8 28.8 27.0 28.3 27.2 25.2 NB816              On21
HSC J095923+020214 09 59 23.66 +02 02 14.4 5.724 99.0 99.0 28.2 27.3 27.1 25.5 NB816              Ni20
HSC J095930+023618 09 59 30.92 +02 36 18.2 5.700 99.0 99.0 27.3 26.9 26.8 25.1 NB816              Ni20
HSC J095932+014645 09 59 32.85 +01 46 45.1 5.735 99.0 29.2 27.6 28.4 28.5 25.3 NB816              Ni20
HSC J095940+020520 09 59 40.47 +02 05 20.6 5.748 29.0 30.0 27.3 28.0 27.7 25.0 NB816              Ni20
HSC J095944+020050 09 59 44.06 +02 00 50.6 5.688 29.1 28.3 26.7 26.1 26.7 24.8 NB816              Ma12, Has18, Ni20
HSC J095946+013208 09 59 46.72 +01 32 08.3 5.735 99.0 99.0 26.5 25.5 25.7 24.4 NB816              Has18
HSC J095946+014352 09 59 46.14 +01 43 52.8 5.717 99.0 28.4 26.9 26.7 26.6 25.1 NB816              Ma12, Has18
